N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
6, 1024, 0.3, 2, 87.44, 90.83, 76.35, 69.63
6, 1024, 0.3, 5, 84.93, 86.57, 74.89, 67.95
6, 2048, 0.3, 0, 91.59, 94.77, 80.58, 73.85
6, 2048, 0.3, 1, 92.48, 95.33, 80.29, 74.7
6, 2048, 0.3, 2, 92.96, 95.28, 79.71, 73.6
6, 2048, 0.3, 5, 90.7, 92.77, 78.39, 71.03
6, 4096, 0.3, 0, 94.37, 96.71, 80.44, 72.37
6, 4096, 0.3, 1, 95.19, 97.17, 80.88, 72.79
6, 4096, 0.3, 2, 95.3, 97.24, 81.31, 73.3
6, 4096, 0.3, 5, 96.19, 97.54, 81.46, 72.58
7, 256, 0.3, 0, 76.89, 80.49, 69.49, 68.82
7, 256, 0.3, 1, 74.48, 78.15, 69.34, 68.88
7, 256, 0.3, 2, 73.33, 76.01, 66.72, 66.62
7, 256, 0.3, 5, 76.11, 79.83, 68.76, 62.3
7, 512, 0.3, 0, 80.74, 85.16, 73.87, 73.24
7, 512, 0.3, 1, 82.85, 86.48, 74.16, 73.65
7, 512, 0.3, 2, 81.19, 84.73, 73.43, 71.78
7, 512, 0.3, 5, 78.44, 81.46, 70.36, 68.33
7, 1024, 0.3, 0, 86.96, 90.98, 75.77, 69.56
7, 1024, 0.3, 1, 88.04, 91.38, 76.93, 70.58
7, 1024, 0.3, 2, 87.89, 90.9, 77.08, 70.8
7, 1024, 0.3, 5, 85.33, 87.68, 73.28, 66.81
7, 2048, 0.3, 0, 91.56, 94.62, 79.71, 74.04
7, 2048, 0.3, 1, 92.41, 95.2, 79.85, 73.63
7, 2048, 0.3, 2, 92.93, 95.24, 80.73, 74.24
7, 2048, 0.3, 5, 91.52, 92.48, 80, 70.18
7, 4096, 0.3, 0, 94.63, 96.82, 79.71, 71.99
7, 4096, 0.3, 1, 95.22, 97.17, 81.46, 73.2
7, 4096, 0.3, 2, 95.63, 97.41, 81.9, 73.55
7, 4096, 0.3, 5, 96.63, 97.9, 82.19, 73.04
8, 256, 0.3, 0, 76.41, 79.99, 69.93, 69.81
8, 256, 0.3, 1, 76.37, 79.83, 69.05, 69.16
8, 256, 0.3, 2, 76.26, 79.76, 69.05, 65.39
8, 256, 0.3, 5, 74.63, 78.3, 64.67, 62.41
8, 512, 0.3, 0, 82.33, 86.91, 74.89, 74.08
8, 512, 0.3, 1, 82.52, 86.66, 74.16, 74.03
8, 512, 0.3, 2, 82.07, 85.5, 74.6, 71.84
8, 512, 0.3, 5, 80.04, 81.82, 74.01, 69.7
8, 1024, 0.3, 0, 87.33, 91.32, 75.62, 69.56
8, 1024, 0.3, 1, 88.56, 92.04, 76.93, 70.67
8, 1024, 0.3, 2, 88.81, 91.41, 77.08, 69.79
8, 1024, 0.3, 5, 86.59, 86.78, 74.89, 67.09
8, 2048, 0.3, 0, 92.37, 95.22, 79.56, 73.08
8, 2048, 0.3, 1, 93.15, 95.71, 80.44, 74.93
8, 2048, 0.3, 2, 93.48, 95.7, 80, 73.73
8, 2048, 0.3, 5, 92.74, 94.2, 80.73, 73.02
8, 4096, 0.3, 0, 95.33, 97.19, 80.73, 72.48
8, 4096, 0.3, 1, 96, 97.52, 81.17, 73.17
8, 4096, 0.3, 2, 96.48, 97.88, 82.34, 73.73
8, 4096, 0.3, 5, 96.96, 98.12, 81.17, 72.47
9, 256, 0.3, 0, 76.22, 80.88, 69.2, 69.26
9, 256, 0.3, 1, 77.59, 80.56, 70.51, 68.45
9, 256, 0.3, 2, 74.41, 77.6, 67.01, 64.81
9, 256, 0.3, 5, 76.96, 79.21, 69.64, 64.45
9, 512, 0.3, 0, 82.19, 86.76, 74.31, 73.22
9, 512, 0.3, 1, 81.96, 86.12, 73.72, 72.09
9, 512, 0.3, 2, 82.59, 85.83, 74.45, 71.44
9, 512, 0.3, 5, 79.15, 82.08, 73.58, 69.66
9, 1024, 0.3, 0, 86.93, 91, 75.33, 69.07
9, 1024, 0.3, 1, 89.15, 92.22, 78.54, 71.18
9, 1024, 0.3, 2, 88.59, 91.02, 76.5, 70.73
9, 1024, 0.3, 5, 86.63, 87.92, 76.5, 68.92
9, 2048, 0.3, 0, 92.67, 95.36, 79.56, 72.57
9, 2048, 0.3, 1, 93.26, 95.69, 80.44, 73.44
9, 2048, 0.3, 2, 94.07, 96.18, 81.02, 74.02
9, 2048, 0.3, 5, 91.74, 93.82, 79.85, 73.15
9, 4096, 0.3, 0, 95.7, 97.35, 79.71, 71.38
9, 4096, 0.3, 1, 96.19, 97.67, 81.9, 73.32
9, 4096, 0.3, 2, 96.81, 97.98, 81.75, 73.41
9, 4096, 0.3, 5, 96.74, 97.86, 81.61, 72.4
10, 256, 0.3, 0, 77.37, 80.66, 70.36, 71.25
10, 256, 0.3, 1, 77.7, 81.5, 70.51, 69.97
10, 256, 0.3, 2, 76.3, 80.12, 68.76, 68.12
10, 256, 0.3, 5, 78.7, 83.41, 70.66, 66.29
10, 512, 0.3, 0, 82.67, 87.02, 74.89, 74.13
10, 512, 0.3, 1, 83.74, 87.93, 74.89, 73.61
10, 512, 0.3, 2, 82.26, 84.86, 74.89, 73.41
10, 512, 0.3, 5, 80.89, 83.51, 73.43, 70.57
10, 1024, 0.3, 0, 88.07, 91.84, 75.62, 69.29
10, 1024, 0.3, 1, 89.93, 92.81, 77.23, 70.34
10, 1024, 0.3, 2, 88.93, 91.24, 77.23, 70.59
10, 1024, 0.3, 5, 87.44, 88.54, 75.91, 66.63
10, 2048, 0.3, 0, 93.11, 95.56, 80, 74.29
10, 2048, 0.3, 1, 94.19, 96.39, 80.29, 73.31
10, 2048, 0.3, 2, 94.37, 96.35, 79.85, 72.32
10, 2048, 0.3, 5, 94.22, 95.76, 80.88, 72.54
10, 4096, 0.3, 0, 96.19, 97.71, 81.46, 72.44
10, 4096, 0.3, 1, 96.67, 97.93, 80.88, 72.47
10, 4096, 0.3, 2, 96.74, 97.96, 81.9, 73.01
10, 4096, 0.3, 5, 97.44, 98.39, 82.19, 71.83
