N,M,a,I,Train Ac,Train avgAc,Test Ac,Test avgAc
3, 512, 0, 2, 82.23, 83.9, 78.57, 81.09
3, 512, 0, 3, 78.78, 81.33, 75.27, 78.09
3, 512, 0, 4, 80.24, 81.77, 75.27, 77.99
3, 512, 0, 5, 78.42, 78.56, 74.84, 74.85
3, 512, 0, 6, 77.1, 79.74, 73.19, 77.54
3, 512, 0, 7, 76.08, 78.24, 72.42, 75.31
3, 512, 0, 8, 75.59, 79.02, 72.31, 76.47
3, 512, 0, 9, 77.43, 79.09, 72.86, 75.24
3, 512, 0, 10, 78.56, 81.13, 72.09, 74.24
3, 1024, 0, 0, 85.95, 88.02, 83.96, 85.86
3, 1024, 0, 1, 86.97, 88.7, 82.64, 84.8
3, 1024, 0, 2, 85.23, 87.57, 81.21, 83.92
3, 1024, 0, 3, 83.77, 85.64, 79.56, 81.63
3, 1024, 0, 4, 86.19, 87.86, 80.44, 83.24
3, 1024, 0, 5, 81.18, 83.57, 75.82, 78.94
3, 1024, 0, 6, 79, 82.51, 73.85, 77.1
3, 1024, 0, 7, 78.56, 81.38, 72.53, 75.81
3, 1024, 0, 8, 80.3, 83.51, 73.52, 77.75
3, 1024, 0, 9, 80.05, 82.17, 75.49, 79.22
3, 1024, 0, 10, 78.26, 81.41, 72.31, 75.8
3, 2048, 0, 0, 88.29, 90.03, 84.07, 86.53
3, 2048, 0, 1, 89.06, 90.58, 85.49, 87.44
3, 2048, 0, 2, 88.67, 90.08, 84.51, 86.91
3, 2048, 0, 3, 89.45, 90.64, 83.85, 86.57
3, 2048, 0, 4, 86.39, 88.26, 80.44, 83.49
3, 2048, 0, 5, 85.04, 86.85, 77.14, 79.62
3, 2048, 0, 6, 88.04, 89.93, 81.1, 83.65
3, 2048, 0, 7, 84.95, 86.53, 77.58, 80.13
3, 2048, 0, 8, 83.77, 86.3, 76.59, 80.36
3, 2048, 0, 9, 83.49, 85.79, 77.03, 79.92
3, 2048, 0, 10, 82.92, 83.9, 76.37, 78.4
4, 512, 0, 0, 84.21, 86.33, 82.2, 84.51
4, 512, 0, 1, 83.69, 85.99, 81.43, 84.57
4, 512, 0, 2, 83.11, 85.3, 80.44, 83.64
4, 512, 0, 3, 81.65, 83.66, 77.58, 80.73
4, 512, 0, 4, 80.6, 82.7, 76.59, 79.43
4, 512, 0, 5, 77.93, 80.56, 74.51, 78.37
4, 512, 0, 6, 76.38, 78.78, 71.87, 74.85
4, 512, 0, 7, 77.79, 80.19, 74.84, 78.3
4, 512, 0, 8, 77.6, 79.68, 75.16, 78.05
4, 512, 0, 9, 79.69, 82.66, 73.96, 77.96
